#EXTINF:-1,cctv1-HD
NewTV中国功夫 1080,http://ott.mobaibox.com/PLTV/1/224/3221227530/1.m3u8
NewTV武搏世界 1080,http://ott.mobaibox.com/PLTV/1/224/3221227533/1.m3u8
NewTV惊悚悬疑 1080,http://ott.mobaibox.com/PLTV/1/224/3221227536/1.m3u8
NewTV海外剧场 1080,http://ott.mobaibox.com/PLTV/1/224/3221227539/1.m3u8
NewTV金牌综艺 1080,http://ott.mobaibox.com/PLTV/1/224/3221227541/1.m3u8
NewTV炫舞未来 1080,http://ott.mobaibox.com/PLTV/1/224/3221227475/1.m3u8
NewTV军事评论 1080,http://ott.mobaibox.com/PLTV/1/224/3221227544/1.m3u8
NewTV精品纪录 1080,http://ott.mobaibox.com/PLTV/1/224/3221227547/1.m3u8
NewTV爱情喜剧 1080,http://ott.mobaibox.com/PLTV/1/224/3221227548/1.m3u8
NewTV精品萌宠 1080,http://ott.mobaibox.com/PLTV/1/224/3221228430/1.m3u8
NewTV明星大片 1080,http://ott.mobaibox.com/PLTV/1/224/3221227594/1.m3u8
NewTV农业致富 1080,http://ott.mobaibox.com/PLTV/1/224/3221227588/1.m3u8
NewTV家庭剧场 1080,http://ott.mobaibox.com/PLTV/1/224/3221227600/1.m3u8
NewTV军旅剧场 1080,http://ott.mobaibox.com/PLTV/1/224/3221227603/1.m3u8
NewTV动作电影 1080,http://ott.mobaibox.com/PLTV/1/224/3221227606/1.m3u8
NewTV怡伴健康 1080,http://ott.mobaibox.com/PLTV/1/224/3221227612/1.m3u8
NewTV精品体育 1080,http://ott.mobaibox.com/PLTV/1/224/3221227615/1.m3u8
NewTV精品大剧 1080,http://ott.mobaibox.com/PLTV/1/224/3221227618/1.m3u8
CETV1 576,http://ott.mobaibox.com/PLTV/4/224/3221225909/1.m3u8
CETV2 576,http://ott.mobaibox.com/PLTV/4/224/3221225850/1.m3u8
CETV4 576,http://ott.mobaibox.com/PLTV/4/224/3221227028/1.m3u8
CGTN 576,http://ott.mobaibox.com/PLTV/4/224/3221225917/1.m3u8
咪咕视频1 1080,http://ott.mobaibox.com/PLTV/1/224/3221228129/1.m3u8
咪咕视频2 1080,http://ott.mobaibox.com/PLTV/1/224/3221228193/1.m3u8
咪咕视频3 1080,http://ott.mobaibox.com/PLTV/1/224/3221228206/1.m3u8
咪咕视频4 1080,http://ott.mobaibox.com/PLTV/1/224/3221228231/1.m3u8
咪咕全民热练 1080,http://ott.mobaibox.com/PLTV/1/224/3221228427/1.m3u8
南京教科 576,http://ott.mobaibox.com/PLTV/1/224/3221227194/1.m3u8
南京少儿 576,http://ott.mobaibox.com/PLTV/1/224/3221227733/1.m3u8
南京生活 576,http://ott.mobaibox.com/PLTV/1/224/3221227786/1.m3u8
江苏教育 576,http://ott.mobaibox.com/PLTV/1/224/3221225923/1.m3u8
江苏新闻 576,http://ott.mobaibox.com/PLTV/1/224/3221225925/1.m3u8
江苏城市 576,http://ott.mobaibox.com/PLTV/1/224/3221225929/1.m3u8
江苏综艺 576,http://ott.mobaibox.com/PLTV/1/224/3221225931/1.m3u8
江苏体育 576,http://ott.mobaibox.com/PLTV/1/224/3221225935/1.m3u8
江苏影视 576,http://ott.mobaibox.com/PLTV/1/224/3221225937/1.m3u8
南京娱乐 1080,http://ott.mobaibox.com/PLTV/1/224/3221227722/1.m3u8
南京信息 1080,http://ott.mobaibox.com/PLTV/1/224/3221227730/1.m3u8
南京新闻综合 1080,http://ott.mobaibox.com/PLTV/1/224/3221227213/1.m3u8
常州新闻综合 1080,http://ott.mobaibox.com/PLTV/1/224/3221227752/1.m3u8
常州都市 1080,http://ott.mobaibox.com/PLTV/1/224/3221227755/1.m3u8
常州公共 1080,http://ott.mobaibox.com/PLTV/1/224/3221227772/1.m3u8
常州生活 1080,http://ott.mobaibox.com/PLTV/1/224/3221227816/1.m3u8
徐州1 1080,http://ott.mobaibox.com/PLTV/1/224/3221225945/1.m3u8
徐州2 1080,http://ott.mobaibox.com/PLTV/1/224/3221225947/1.m3u8
徐州3 1080,http://ott.mobaibox.com/PLTV/1/224/3221225949/1.m3u8
徐州4 1080,http://ott.mobaibox.com/PLTV/1/224/3221225951/1.m3u8
沛县经济生活 1080,http://ott.mobaibox.com/PLTV/1/224/3221227611/1.m3u8
沛县新闻综合 1080,http://ott.mobaibox.com/PLTV/1/224/3221227678/1.m3u8
沛县文艺影视 1080,http://ott.mobaibox.com/PLTV/1/224/3221227681/1.m3u8
邳州综合 1080 50FPS,http://ott.mobaibox.com/PLTV/1/224/3221227573/1.m3u8
邳州综合 1080,http://ott.mobaibox.com/PLTV/1/224/3221227576/1.m3u8
睢宁生活教育 1080,http://ott.mobaibox.com/PLTV/1/224/3221227701/1.m3u8
睢宁综合 1080,http://ott.mobaibox.com/PLTV/1/224/3221227706/1.m3u8
睢宁三农 1080,http://ott.mobaibox.com/PLTV/1/224/3221227709/1.m3u8
睢宁资讯 1080,http://ott.mobaibox.com/PLTV/1/224/3221227712/1.m3u8
无锡新闻综合 1080,http://ott.mobaibox.com/PLTV/1/224/3221228103/1.m3u8
综合 1080,http://ott.mobaibox.com/PLTV/1/224/3221228215/1.m3u8
南通新闻综合 1080,http://ott.mobaibox.com/PLTV/1/224/3221228462/1.m3u8
南通2 1080,http://ott.mobaibox.com/PLTV/1/224/3221228448/1.m3u8
南通3 1080,http://ott.mobaibox.com/PLTV/1/224/3221228451/1.m3u8
泰州1 1080,http://ott.mobaibox.com/PLTV/1/224/3221228212/1.m3u8
泰州3 1080,http://ott.mobaibox.com/PLTV/1/224/3221228100/1.m3u8
盐城1 1080,http://ott.mobaibox.com/PLTV/1/224/3221228435/1.m3u8
盐城2 1080,http://ott.mobaibox.com/PLTV/1/224/3221228433/1.m3u8
盐城3 1080,http://ott.mobaibox.com/PLTV/1/224/3221228436/1.m3u8
连云港新闻综合 1080,http://ott.mobaibox.com/PLTV/1/224/3221227758/1.m3u8
连云港公共 1080,http://ott.mobaibox.com/PLTV/1/224/3221227819/1.m3u8
东海综合 1080,http://ott.mobaibox.com/PLTV/1/224/3221227792/1.m3u8
赣榆 1080,http://ott.mobaibox.com/PLTV/1/224/3221228317/1.m3u8
镇江新闻综合 1080,http://ott.mobaibox.com/PLTV/1/224/3221228246/1.m3u8
宝应新闻综合 1080,http://ott.mobaibox.com/PLTV/1/224/3221228007/1.m3u8
宝应生活资讯 1080,http://ott.mobaibox.com/PLTV/1/224/3221228039/1.m3u8
徐州铜山1 1080,http://ott.mobaibox.com/PLTV/1/224/3221228152/1.m3u8
徐州铜山2 1080,http://ott.mobaibox.com/PLTV/1/224/3221228081/1.m3u8
徐州铜山3 1080,http://ott.mobaibox.com/PLTV/1/224/3221228055/1.m3u8
江都 1080,http://ott.mobaibox.com/PLTV/1/224/3221228323/1.m3u8
崇川 1080,http://ott.mobaibox.com/PLTV/1/224/3221228533/1.m3u8
贾汪新闻 576,http://ott.mobaibox.com/PLTV/1/224/3221227385/1.m3u8
贾汪旅游 576,http://ott.mobaibox.com/PLTV/1/224/3221227389/1.m3u8
4K UHD HEVC,http://ott.mobaibox.com/PLTV/1/224/3221228242/1.m3u8
4K修复,http://ott.mobaibox.com/PLTV/1/224/3221228141/1.m3u8
8K测试,http://ott.mobaibox.com/PLTV/1/224/3221228132/1.m3u8
知否知否 1080,http://ott.mobaibox.com/PLTV/1/224/3221228465/1.m3u8
百姓生活 1080,http://ott.mobaibox.com/PLTV/1/224/3221228466/1.m3u8
无名 1088,http://ott.mobaibox.com/PLTV/1/224/3221227512/1.m3u8
无名 1080,http://ott.mobaibox.com/PLTV/1/224/3221227579/1.m3u8
无名 1080,http://ott.mobaibox.com/PLTV/1/224/3221228562/1.m3u8
无名 1080,http://ott.mobaibox.com/PLTV/1/224/3221228588/1.m3u8
无名 1080,http://ott.mobaibox.com/PLTV/1/224/3221228644/1.m3u8
古装剧场 1080,http://ott.mobaibox.com/PLTV/1/224/3221227542/1.m3u8
更财经 1080,http://ott.mobaibox.com/PLTV/1/224/3221228441/1.m3u8
动漫1 1080,http://ott.mobaibox.com/PLTV/1/224/3221228444/1.m3u8
动漫2 1080,http://ott.mobaibox.com/PLTV/1/224/3221228456/1.m3u8
动漫3 1080,http://ott.mobaibox.com/PLTV/1/224/3221228460/1.m3u8
动漫4 1080,http://ott.mobaibox.com/PLTV/1/224/3221228463/1.m3u8
动漫5 1080,http://ott.mobaibox.com/PLTV/1/224/3221228536/1.m3u8
动漫6 1080,http://ott.mobaibox.com/PLTV/1/224/3221228539/1.m3u8
动漫7 1080,http://ott.mobaibox.com/PLTV/1/224/3221228579/1.m3u8
动漫8 1080,http://ott.mobaibox.com/PLTV/1/224/3221228638/1.m3u8
健身 1080,http://ott.mobaibox.com/PLTV/1/224/3221228454/1.m3u8
广场舞 1080,http://ott.mobaibox.com/PLTV/1/224/3221228635/1.m3u8
云视听小电视 1080,http://ott.mobaibox.com/PLTV/1/224/3221228641/1.m3u8
凤凰卫视HD 1080,http://ott.mobaibox.com/PLTV/1/224/3221228524/1.m3u8
凤凰卫视 1080,http://ott.mobaibox.com/PLTV/1/224/3221228527/1.m3u8
凤凰卫视 1080香港台,http://ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
